t_us,current_A,pwmCmd,encCount,rpm,filtered_A
7284737,-0.0564,0,0.00,0.00,-0.0248
7334737,0.0088,0,0.00,0.00,-0.0101
7384737,-0.1052,0,0.00,0.00,-0.0236
7434737,0.0413,0,0.00,0.00,0.0154
7484737,-0.0075,0,0.00,0.00,0.0019
7534737,0.0088,0,0.00,0.00,0.0154
7584737,-0.0726,0,0.00,0.00,-0.0234
7634737,0.0250,0,0.00,0.00,0.0127
7684737,0.0413,0,0.00,0.00,0.0482
7734737,0.0576,0,0.00,0.00,0.0311
7784737,0.1064,0,0.00,0.00,0.0263
7834737,-0.1378,0,0.00,0.00,-0.0159
7884737,0.0576,0,0.00,0.00,0.0082
7934737,-0.0075,0,0.00,0.00,0.0328
7984737,-0.1540,0,0.00,0.00,-0.0406
8034737,0.0902,0,0.00,0.00,0.0487
8084737,-0.0401,0,0.00,0.00,-0.0282
8134737,-0.0238,0,0.00,0.00,-0.0045
8184737,-0.0075,0,0.00,0.00,0.0034
8234737,-0.0075,0,0.00,0.00,-0.0138
8284737,0.0413,0,0.00,0.00,-0.0185
8334737,-0.0401,0,0.00,0.00,-0.0036
8384737,-0.0075,0,0.00,0.00,0.0179
8434737,-0.0238,0,0.00,0.00,0.0136
8484737,-0.0238,0,0.00,0.00,-0.0053
8534737,-0.1215,0,0.00,0.00,-0.0588
8584737,-0.0238,0,0.00,0.00,0.0110
8634737,-0.0564,0,0.00,0.00,-0.0376
8684737,-0.0726,0,0.00,0.00,-0.0405
8734737,0.0250,0,0.00,0.00,0.0262
8784737,-0.0401,0,0.00,0.00,0.0156
8834737,-0.0075,0,0.00,0.00,-0.0106
8884737,-0.0726,0,0.00,0.00,-0.0049
8934737,0.1227,0,0.00,0.00,0.0173
8984737,0.0088,0,0.00,0.00,0.0198
9034737,-0.0401,0,0.00,0.00,-0.0217
9084737,0.0576,0,0.00,0.00,0.0032
9134737,0.1064,0,0.00,0.00,0.0194
9184737,0.0088,0,0.00,0.00,-0.0094
9234737,-0.1378,0,0.00,0.00,-0.0489
9284737,0.0413,0,0.00,0.00,0.0256
9334737,0.0413,0,0.00,0.00,0.0114
9384737,-0.0075,0,0.00,0.00,0.0058
9434737,0.0902,0,0.00,0.00,0.0499
9484737,0.1064,0,0.00,0.00,0.0222
9534737,-0.0075,0,0.00,0.00,-0.0192
9584737,-0.0075,0,0.00,0.00,0.0059
9634737,-0.1540,0,0.00,0.00,-0.0643
9684737,-0.0401,0,0.00,0.00,-0.0096
9734737,-0.0889,0,0.00,0.00,-0.0300
9784737,0.8553,700,0.04,16.84,0.8150
9834737,0.6111,700,0.13,16.84,0.5364
9884737,0.5297,700,0.22,16.84,0.4635
9934737,0.4158,700,0.30,16.84,0.3844
9984737,0.5134,700,0.39,16.84,0.4898
10034737,0.6762,700,0.48,16.84,0.5714
10084737,0.6600,700,0.56,16.84,0.6297
10134737,0.5623,700,0.65,16.84,0.5509
10184737,0.5786,700,0.74,16.84,0.5662
10234737,0.7251,700,0.82,16.84,0.6271
10284737,0.7739,700,0.91,16.84,0.7519
10334737,0.6600,700,1.00,16.84,0.6482
10384737,0.5948,700,1.08,16.84,0.6951
10434737,0.6274,700,1.17,16.84,0.6246
10484737,0.4483,700,1.26,16.84,0.4584
10534737,0.4320,700,1.34,16.84,0.4955
10584737,0.3344,700,1.43,16.84,0.4212
10634737,0.3506,700,1.52,16.84,0.4144
10684737,0.3995,700,1.60,16.84,0.3378
10734737,0.5134,700,1.69,16.84,0.3848
10784737,0.3181,700,1.78,16.84,0.3553
10834737,0.5948,700,1.87,16.84,0.4692
10884737,0.6437,700,1.96,16.84,0.5806
10934737,0.7414,700,2.04,16.84,0.6783
10984737,0.6274,700,2.13,16.84,0.6297
11034737,0.6437,700,2.22,16.84,0.6157
11084737,0.6762,700,2.31,16.84,0.6720
11134737,0.6274,700,2.39,16.84,0.6633
11184737,0.3832,700,2.48,16.84,0.4934
11234737,0.4158,700,2.57,16.84,0.4593
11284737,0.3669,700,2.65,16.84,0.3857
11334737,0.3669,700,2.74,16.84,0.3415
11384737,0.3669,700,2.83,16.84,0.3492
11434737,0.4483,700,2.92,16.84,0.4096
11484737,0.6925,700,3.00,16.84,0.5921
11534737,0.6274,700,3.09,16.84,0.5621
11584737,0.7576,700,3.18,16.84,0.6495
11634737,0.6437,700,3.27,16.84,0.6134
11684737,0.6111,700,3.36,16.84,0.6539
11734737,0.5623,700,3.44,16.84,0.6654
11784740,0.3995,700,3.53,16.84,0.5131
11834737,0.5134,700,3.62,16.84,0.5420
11884737,0.3344,700,3.70,16.84,0.3939
11934737,0.5460,700,3.79,16.84,0.4416
11984737,0.3181,700,3.88,16.84,0.3591
12034737,0.4809,700,3.96,12.63,0.4163
12084737,0.5297,700,4.05,16.84,0.4959
12134737,0.8065,700,4.14,16.84,0.7061
12184737,0.6437,700,4.23,16.84,0.6171
12234737,0.6274,700,4.32,16.84,0.6295
12284737,0.5623,1400,4.46,33.68,0.6657
12334737,0.9856,1400,4.65,37.89,0.7838
12384737,0.5623,1400,4.85,37.89,0.4842
12434737,0.5948,1400,5.04,37.89,0.7308
12484737,0.8553,1400,5.23,37.89,0.7482
12534737,0.3506,1400,5.42,37.89,0.4538
12584737,0.6274,1400,5.62,37.89,0.6812
12634737,0.6600,1400,5.81,33.68,0.6494
12684737,0.4158,1400,6.00,33.68,0.5851
12734737,0.5786,1400,6.20,37.89,0.7484
12784737,0.7414,1400,0.11,37.89,0.5645
12834737,0.4646,1400,0.30,37.89,0.5230
12884737,0.8228,1400,0.49,33.68,0.7828
12934737,0.6274,1400,0.68,37.89,0.5433
12984737,0.3832,1400,0.88,37.89,0.5931
13034737,0.9530,1400,1.07,37.89,0.8560
13084737,0.6762,1400,1.27,37.89,0.5250
13134737,0.3832,1400,1.46,37.89,0.5494
13184737,0.8065,1400,1.65,33.68,0.6892
13234737,0.4809,1400,1.84,33.68,0.5217
13284737,0.5297,1400,2.04,37.89,0.6842
13334737,0.8716,1400,2.23,37.89,0.7839
13384737,0.5786,1400,2.43,37.89,0.5418
13434737,0.3669,1400,2.62,37.89,0.5893
13484737,0.8553,1400,2.81,37.89,0.7481
13534737,0.3995,1400,3.01,37.89,0.4631
13584737,0.5786,1400,3.20,33.68,0.6655
13634737,0.9367,1400,3.39,37.89,0.8018
13684737,0.6274,1400,3.58,37.89,0.5205
13734737,0.5134,1400,3.78,37.89,0.6416
13784737,0.8065,1400,3.97,37.89,0.6998
13834737,0.4483,1400,4.17,37.89,0.5182
13884737,0.4320,1400,4.36,33.68,0.6433
13934737,0.9204,1400,4.55,33.68,0.7055
13984737,0.5297,1400,4.74,37.89,0.5139
14034737,0.5460,1400,4.94,37.89,0.7176
14084737,0.7576,1400,5.13,37.89,0.6632
14134737,0.5786,1400,5.33,37.89,0.5490
14184737,0.5786,1400,5.52,37.89,0.7291
14234737,0.8553,1400,5.71,37.89,0.7690
14284737,0.5623,1400,5.91,37.89,0.4633
14334737,0.4972,1400,6.10,42.11,0.6168
14384737,0.8228,1400,0.01,37.89,0.7518
14434737,0.5297,1400,0.20,37.89,0.4977
14484737,0.5297,1400,0.40,37.89,0.6394
14534737,1.0995,1400,0.59,37.89,0.9095
14584737,0.5948,1400,0.78,37.89,0.5362
14634737,0.4158,1400,0.98,37.89,0.5303
14684737,0.8390,1400,1.17,37.89,0.7325
14734737,0.6925,1400,1.36,33.68,0.6096
14784737,1.0995,2100,1.61,54.74,1.0332
14834737,0.9693,2100,1.91,54.74,0.8106
14884737,0.7414,2100,2.21,58.95,0.9231
14934737,0.4320,2100,2.51,54.74,0.7534
14984737,0.9042,2100,2.81,58.95,0.7745
15034737,1.0181,2100,3.11,58.95,0.9145
15084737,0.7739,2100,3.41,58.95,0.9306
15134737,0.6600,2100,3.71,58.95,0.7720
15184737,0.8065,2100,4.01,58.95,0.7166
15234737,0.9042,2100,4.31,58.95,0.9399
15284737,0.5623,2100,4.61,58.95,0.8152
15334737,0.7576,2100,4.91,58.95,0.6899
15384737,1.0181,2100,5.21,58.95,0.8623
15434737,0.8065,2100,5.51,58.95,0.9344
15484737,0.6274,2100,5.81,58.95,0.8284
15534737,0.7739,2100,6.11,58.95,0.7461
15584737,1.0832,2100,0.12,58.95,0.9381
15634737,0.5460,2100,0.42,58.95,0.7933
15684737,0.8228,2100,0.72,58.95,0.7276
15734737,1.0181,2100,1.02,58.95,0.8367
15784737,0.7902,2100,1.32,58.95,0.9926
15834737,0.6925,2100,1.62,58.95,0.7712
15884737,0.9856,2100,1.92,58.95,0.7895
15934737,0.8065,2100,2.22,58.95,0.8932
15984737,0.4972,2100,2.52,58.95,0.7612
16034737,0.9204,2100,2.82,58.95,0.8090
16084737,1.1972,2100,3.12,54.74,0.9532
16134737,0.7902,2100,3.42,54.74,0.9217
16184737,0.8228,2100,3.72,54.74,0.7899
16234737,0.9693,2100,4.02,54.74,0.7931
16284737,0.8716,2100,4.32,54.74,0.9076
16334737,0.7088,2100,4.62,54.74,0.7318
16384737,1.0670,2100,4.93,58.95,0.9010
16434737,0.8390,2100,5.22,54.74,0.9839
16484737,0.4809,2100,5.52,58.95,0.7608
16534737,0.8716,2100,5.82,58.95,0.7866
16584737,1.0670,2100,6.12,58.95,0.9117
16634737,0.5948,2100,0.14,58.95,0.7535
16684737,0.8390,2100,0.44,58.95,0.7534
16734737,1.1972,2100,0.74,58.95,0.9553
16784737,0.7739,2100,1.04,58.95,0.9081
16834737,0.5623,2100,1.34,58.95,0.7866
16884737,0.9204,2100,1.64,58.95,0.7944
16934737,1.2949,2100,1.94,58.95,0.9798
16984737,0.5786,2100,2.24,58.95,0.7996
17034737,0.7251,2100,2.54,58.95,0.7178
17084737,1.0832,2100,2.84,58.95,0.8961
17134737,0.8716,2100,3.13,54.74,0.9649
17184737,0.5623,2100,3.44,58.95,0.7933
17234737,1.0181,2100,3.73,54.74,0.8336
17284737,0.7902,2800,4.09,75.79,1.1444
17334737,1.2298,2800,4.49,75.79,1.0173
17384737,1.0832,2800,4.90,75.79,0.8900
17434737,1.2135,2800,5.31,80.00,0.9510
17484737,0.9367,2800,5.71,80.00,0.8214
17534737,0.8065,2800,6.12,80.00,0.8123
17584737,0.7576,2800,0.24,75.79,0.8548
17634737,0.5786,2800,0.65,75.79,0.7711
17684737,0.6925,2800,1.05,75.79,0.8738
17734737,0.6111,2800,1.46,80.00,0.8603
17784737,0.9530,2800,1.87,80.00,1.0568
17834737,1.0832,2800,2.28,80.00,0.9823
17884737,1.1646,2800,2.68,75.79,1.0153
17934737,1.0344,2800,3.09,75.79,0.8822
17984737,1.0670,2800,3.49,75.79,0.8402
18034737,0.9693,2800,3.90,75.79,0.8679
18084737,0.8879,2800,4.30,75.79,0.8001
18134737,0.8716,2800,4.71,80.00,0.8844
